"","","Channel","Watch time (mins)","Stream time (mins)","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Status","Mature","Language","URL"
"1","https://static-cdn.jtvnw.net/jtv_user_pictures/xqc-profile_image-9298dca608632101-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","xQc","8847081540","215010","222720","41146","12520525","5364951","132751155","Partner","false","English","https://www.twitch.tv/xqc"
"2","https://static-cdn.jtvnw.net/jtv_user_pictures/ea0fe422-84bd-4aee-9d10-fd4b0b3a7054-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Gaules","7720563330","517155","387315","14928","4323475","1416066","136956383","Partner","false","Portuguese","https://www.twitch.tv/gaules"
"3","https://static-cdn.jtvnw.net/jtv_user_pictures/99aa4739-21d6-40af-86ae-4b4d3457fce4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","summit1g","6505033950","221550","310998","29361","6401532","1696810","94561929","Partner","false","English","https://www.twitch.tv/summit1g"
"4","https://static-cdn.jtvnw.net/jtv_user_pictures/c1ecbcd5-b8b6-4e0c-9d5f-e01d610aa97d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ESLCS","4786942590","518580","300575","9230","6807320","892718","128514894","Partner","false","English","https://www.twitch.tv/eslcs"
"5","https://static-cdn.jtvnw.net/jtv_user_pictures/b04e20be-6c0b-4379-b163-7f9a928e03f0-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","NICKMERCS","4406970885","127065","163241","34682","6766464","1691981","54622518","Partner","false","English","https://www.twitch.tv/nickmercs"
"6","https://static-cdn.jtvnw.net/jtv_user_pictures/f3591dbe4ee3d94b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","loltyler1","4096418850","143265","105499","28593","5496662","1059740","67469321","Partner","false","English","https://www.twitch.tv/loltyler1"
"7","https://static-cdn.jtvnw.net/jtv_user_pictures/574228be-01ef-4eab-bc0e-a4f6b68bedba-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ibai","4091684295","95700","533239","42754","19851869","4106694","114612647","Partner","false","Spanish","https://www.twitch.tv/ibai"
"8","https://static-cdn.jtvnw.net/jtv_user_pictures/f1ea7d5a-ab2c-4e91-bba5-3ce211adfc3b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","auronplay","4053369015","51630","191742","78507","17012444","5101415","75975467","Partner","false","Spanish","https://www.twitch.tv/auronplay"
"9","https://static-cdn.jtvnw.net/jtv_user_pictures/a28b0d37-81d0-415a-8ed8-1a1f998ea26d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Fextralife","4009993485","175785","68795","22811","1600214","445534","720291870","Partner","false","English","https://www.twitch.tv/fextralife"
"10","https://static-cdn.jtvnw.net/jtv_user_pictures/a2592e98-5ba6-4c9a-9d9e-cf036d6f64c2-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","Rubius","3758366400","66900","344676","56178","16435773","4687367","87615652","Partner","false","Spanish","https://www.twitch.tv/rubius"
"11","https://static-cdn.jtvnw.net/jtv_user_pictures/7dcd89d5-6700-4b05-b9c9-c7dac61c32db-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","TimTheTatman","3427872990","106380","335403","32222","7612246","1729529","56882290","Partner","false","English","https://www.twitch.tv/timthetatman"
"12","https://static-cdn.jtvnw.net/jtv_user_pictures/asmongold-profile_image-f7ddcbd0332f5d28-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Asmongold","3316320495","76545","187953","43324","3430784","549313","52747691","Partner","false","English","https://www.twitch.tv/asmongold"
"13","https://static-cdn.jtvnw.net/jtv_user_pictures/f65f290a-d37e-4c33-bc74-de6049eddf55-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Tfue","3147036030","137475","190173","22891","11537464","2429948","73128517","Partner","false","English","https://www.twitch.tv/tfue"
"14","https://static-cdn.jtvnw.net/jtv_user_pictures/fc7b15b2-e400-4e74-8c8b-2ad3725e5770-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","sodapoppin","3136184805","158025","107432","19845","8966121","3359738","45684665","Partner","false","English","https://www.twitch.tv/sodapoppin"
"15","https://static-cdn.jtvnw.net/jtv_user_pictures/0347a9aa-e396-49a5-b0f1-31261704bab8-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","HasanAbi","3112536060","219060","226974","14208","3059503","696043","35128890","Partner","false","English","https://www.twitch.tv/hasanabi"
"16","https://static-cdn.jtvnw.net/jtv_user_pictures/38e925fc-0b07-4e1e-82e2-6639e01344f3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","LIRIK","2960718870","131790","75174","22465","2996817","177286","46539266","Partner","false","English","https://www.twitch.tv/lirik"
"17","https://static-cdn.jtvnw.net/jtv_user_pictures/anomaly-profile_image-0be1a6abbc7a9f45-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Anomaly","2854183800","87780","125408","32514","2848863","1441033","36164772","Partner","false","English","https://www.twitch.tv/anomaly"
"18","https://static-cdn.jtvnw.net/jtv_user_pictures/bc9e7c87-c85a-45a6-9e45-0eb1e87eb47a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","TheGrefg","2797431870","71850","538444","38933","12286014","4208983","71129838","Partner","false","Spanish","https://www.twitch.tv/thegrefg"
"19","https://static-cdn.jtvnw.net/jtv_user_pictures/64d44235-1dee-4bca-95da-bee1ee96eea3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","alanzoka","2538944430","104220","139777","24360","8045394","1870473","58894703","Partner","false","Portuguese","https://www.twitch.tv/alanzoka"
"20","https://static-cdn.jtvnw.net/jtv_user_pictures/13bfaccd-9f13-46a6-b6c7-983903a4a34a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","TheRealKnossi","2432015685","61020","328945","39855","2460095","936779","31123005","Partner","false","German","https://www.twitch.tv/therealknossi"
"21","https://static-cdn.jtvnw.net/jtv_user_pictures/7d354ef2-b2a8-4276-8c12-5be7f6301ae0-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","hanryang1125","2371413705","176595","44351","13428","615973","90603","38630141","Partner","false","Korean","https://www.twitch.tv/hanryang1125"
"22","https://static-cdn.jtvnw.net/jtv_user_pictures/35b02a12-d516-499e-90f8-7899f136fa18-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","riotgames","2351079105","78180","654205","30072","7358758","634937","47142006","Partner","false","English","https://www.twitch.tv/riotgames"
"23","https://static-cdn.jtvnw.net/jtv_user_pictures/446206f8-0acf-4090-8948-89c09794ccbc-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Riot_esports_Korea","2299170720","49080","349104","46844","1331675","312613","86182524","Partner","false","Korean","https://www.twitch.tv/riot_esports_korea"
"24","https://static-cdn.jtvnw.net/jtv_user_pictures/544413a8-8527-4a15-aa13-16dc9432735b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","csgo_mc","2273258535","131145","364816","17333","1222562","655141","75529641","Partner","false","Russian","https://www.twitch.tv/csgo_mc"
"25","https://static-cdn.jtvnw.net/jtv_user_pictures/1e642efd-cdd0-41a3-9ded-f10e9898bca1-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Dota2RuHub","2271232275","166935","103238","13605","924092","161609","69589785","Partner","false","Russian","https://www.twitch.tv/dota2ruhub"
"26","https://static-cdn.jtvnw.net/jtv_user_pictures/6d33e15c-f918-468f-9a29-f56399786532-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Pestily","2234889600","136515","226470","16370","1480663","582368","29967281","Partner","false","English","https://www.twitch.tv/pestily"
"27","https://static-cdn.jtvnw.net/jtv_user_pictures/148c3b8a-a78b-4139-a429-7d3d90ce8a27-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","CohhCarnage","2198814150","187965","66023","11697","1714648","126778","39815294","Partner","false","English","https://www.twitch.tv/cohhcarnage"
"28","https://static-cdn.jtvnw.net/jtv_user_pictures/8f89b1cc-4c97-4e2b-a6d8-b288f3963bc5-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Castro_1021","2138813655","106095","125133","20158","3716579","613935","24468184","Partner","false","English","https://www.twitch.tv/castro_1021"
