"","","Channel","Watch time (mins)","Stream time (mins)","Peak viewers","Average viewers","Followers","Followers gained","Status","Mature","Language","URL"
"1","https://static-cdn.jtvnw.net/jtv_user_pictures/xqc-profile_image-9298dca608632101-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","xQc","13497613410","199020","312158","67820","12520525","1718622","Partner","false","English","https://www.twitch.tv/xqc"
"2","https://static-cdn.jtvnw.net/jtv_user_pictures/ea0fe422-84bd-4aee-9d10-fd4b0b3a7054-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Gaules","9690561645","523200","669678","18521","4323475","575880","Partner","false","Portuguese","https://www.twitch.tv/gaules"
"3","https://static-cdn.jtvnw.net/jtv_user_pictures/574228be-01ef-4eab-bc0e-a4f6b68bedba-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ibai","6622283580","81210","3351678","81545","19851869","3350413","Partner","false","Spanish","https://www.twitch.tv/ibai"
"4","https://static-cdn.jtvnw.net/jtv_user_pictures/f1ea7d5a-ab2c-4e91-bba5-3ce211adfc3b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","auronplay","6128539575","68340","457641","89677","17012444","3265720","Partner","false","Spanish","https://www.twitch.tv/auronplay"
"5","https://static-cdn.jtvnw.net/jtv_user_pictures/c1ecbcd5-b8b6-4e0c-9d5f-e01d610aa97d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ESLCS","5269920750","362205","550154","14549","6807320","750476","Partner","false","English","https://www.twitch.tv/eslcs"
"6","https://static-cdn.jtvnw.net/jtv_user_pictures/0347a9aa-e396-49a5-b0f1-31261704bab8-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","HasanAbi","4920160560","152265","153661","32313","3059503","550508","Partner","false","English","https://www.twitch.tv/hasanabi"
"7","https://static-cdn.jtvnw.net/jtv_user_pictures/d8a3e3e9-f70a-4634-bd59-b4a1cab834de-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","fps_shaka","4888201350","230400","78288","21216","1664867","303300","Partner","false","Japanese","https://www.twitch.tv/fps_shaka"
"8","https://static-cdn.jtvnw.net/jtv_user_pictures/asmongold-profile_image-f7ddcbd0332f5d28-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Asmongold","4819404090","70110","448161","68740","3430784","956072","Partner","false","English","https://www.twitch.tv/asmongold"
"9","https://static-cdn.jtvnw.net/jtv_user_pictures/1f47965f-7961-4b64-ad6f-71808d7d7fe9-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Trainwreckstv","4504633110","151050","70364","29822","2241071","474210","Partner","true","English","https://www.twitch.tv/trainwreckstv"
"10","https://static-cdn.jtvnw.net/jtv_user_pictures/f04d2a14-8d63-4cd5-a469-7ec2cd6e5ce3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","tarik","4379248110","181680","187886","24104","3313124","1202398","Partner","false","English","https://www.twitch.tv/tarik"
"11","https://static-cdn.jtvnw.net/jtv_user_pictures/4fb94c7a-b4c0-4ed1-9782-b630a59915d5-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","eliasn97","4118976900","131820","189931","31247","2384092","584877","Partner","false","German","https://www.twitch.tv/eliasn97"
"12","https://static-cdn.jtvnw.net/jtv_user_pictures/99aa4739-21d6-40af-86ae-4b4d3457fce4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","summit1g","4100976765","249810","40830","16416","6401532","110485","Partner","false","English","https://www.twitch.tv/summit1g"
"13","https://static-cdn.jtvnw.net/jtv_user_pictures/bf6a04cf-3f44-4986-8eed-5c36bfad542b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","KaiCenat","4063794135","83280","283245","48796","19852125","2664292","Partner","false","English","https://www.twitch.tv/kaicenat"
"14","https://static-cdn.jtvnw.net/jtv_user_pictures/3f038015-59f4-44f3-8a82-7437d3afd068-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Coringa","3905865345","94170","198645","41476","7153201","987789","Partner","false","Portuguese","https://www.twitch.tv/coringa"
"15","https://static-cdn.jtvnw.net/jtv_user_pictures/f3591dbe4ee3d94b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","loltyler1","3807906045","166770","74015","22833","5496662","447607","Partner","false","English","https://www.twitch.tv/loltyler1"
"16","https://static-cdn.jtvnw.net/jtv_user_pictures/446206f8-0acf-4090-8948-89c09794ccbc-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Riot_esports_Korea","3802004100","76245","692626","49865","1331675","270390","Partner","false","Korean","https://www.twitch.tv/riot_esports_korea"
"17","https://static-cdn.jtvnw.net/jtv_user_pictures/a28b0d37-81d0-415a-8ed8-1a1f998ea26d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Fextralife","3767350080","159360","248428","23640","1600214","494884","Partner","false","English","https://www.twitch.tv/fextralife"
"18","https://static-cdn.jtvnw.net/jtv_user_pictures/32805a78-d927-48bd-8089-bf5efed53ea4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","casimito","3756719400","110085","540146","34125","3935077","2114934","Partner","true","Portuguese","https://www.twitch.tv/casimito"
"19","https://static-cdn.jtvnw.net/jtv_user_pictures/a58575dc-6414-45f7-a2da-a1ea2bed2e1f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","otplol_","3669011790","491355","204072","7467","797456","177983","Partner","false","French","https://www.twitch.tv/otplol_"
"20","https://static-cdn.jtvnw.net/jtv_user_pictures/10c197cb-295f-4d40-8a6c-26a0a5da22ee-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","AdinRoss","3583055070","65235","266118","54925","7027192","1789900","Partner","false","English","https://www.twitch.tv/adinross"
"21","https://static-cdn.jtvnw.net/jtv_user_pictures/35b02a12-d516-499e-90f8-7899f136fa18-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","riotgames","3571813410","75855","988867","47087","7358758","505593","Partner","false","English","https://www.twitch.tv/riotgames"
"22","https://static-cdn.jtvnw.net/jtv_user_pictures/a2592e98-5ba6-4c9a-9d9e-cf036d6f64c2-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","Rubius","3553116465","99165","372079","35830","16435773","2655537","Partner","false","Spanish","https://www.twitch.tv/rubius"
"23","https://static-cdn.jtvnw.net/jtv_user_pictures/ab4a35d8-8008-41b8-b0e5-db622e4c0a6f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ROSHTEIN","3412720935","146205","47775","23342","1041742","245387","Community","true","English","https://www.twitch.tv/roshtein"
"24","https://static-cdn.jtvnw.net/jtv_user_pictures/593b5641-c626-4ba4-ba49-11cb33f6c3e8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","IlloJuan","3402955950","91770","172014","37081","4587943","1601110","Partner","false","Spanish","https://www.twitch.tv/illojuan"
"25","https://static-cdn.jtvnw.net/jtv_user_pictures/74586414-e27b-4347-89c5-109e42ac3e1d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","juansguarnizo","3175801020","103770","282341","30604","11674676","3383179","Partner","false","Spanish","https://www.twitch.tv/juansguarnizo"
"26","https://static-cdn.jtvnw.net/jtv_user_pictures/34c5c8da-19b6-47b2-85ba-cc7ae87f1413-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","VALORANT","3081479760","124095","281190","24831","4866540","1333623","Partner","false","English","https://www.twitch.tv/valorant"
"27","https://static-cdn.jtvnw.net/jtv_user_pictures/d4885242-febf-4a11-a42a-a0ad52474ee2-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ElSpreen","2970998325","64200","188812","46277","9695161","3965503","Partner","false","Spanish","https://www.twitch.tv/elspreen"
"28","https://static-cdn.jtvnw.net/jtv_user_pictures/198c0fe9-cf41-4ef1-ad55-405c1e599f25-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","elxokas","2939897745","152805","1185959","19239","4407286","1673188","Partner","false","Spanish","https://www.twitch.tv/elxokas"
"29","https://static-cdn.jtvnw.net/jtv_user_pictures/stylishnoob4-profile_image-08271f11296c16df-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","stylishnoob4","2893021425","160575","76631","18016","1148116","208748","Partner","false","Japanese","https://www.twitch.tv/stylishnoob4"
"30","https://static-cdn.jtvnw.net/jtv_user_pictures/c5a2baa2-74ed-4b72-b047-8326572c9bfa-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","handongsuk","2820514350","189330","84826","14897","656212","81790","Partner","false","Korean","https://www.twitch.tv/handongsuk"
"31","https://static-cdn.jtvnw.net/jtv_user_pictures/b04e20be-6c0b-4379-b163-7f9a928e03f0-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","NICKMERCS","2753433435","117060","108069","23521","6766464","345470","Partner","false","English","https://www.twitch.tv/nickmercs"
